"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Families:","Families: Income Below Poverty Level","Families: Income Below Poverty Level: Married Couple Family: with Related Child Living  Below Poverty Level","Families: Income Below Poverty Level: Married Couple Family: No Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present","Families: Income Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present","Families: Income Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years","Families: Income At or Above Poverty Level","Median Household Income (In 2021 Inflation Adjusted Dollars)","Total Population","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,SE_A14006_001,SE_A00001_001,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"09001010101","Census Tract 101.01, Fairfield County, Connecticut","ACSSF","ct","140","00","0000562",,,,,"09","001",,,"010101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010101","Census Tract 101.01",,,,2034,1923,111,3103,117,2986,2450,2188,999,275,74,1068,9,0,9,0,0,0,0,0,0,1059,186726,4391,4391,4162,3889,126,0,135,0,0,12,229,90,0,0,0,0,16,123
"09001010102","Census Tract 101.02, Fairfield County, Connecticut","ACSSF","ct","140","00","0000563",,,,,"09","001",,,"010102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010102","Census Tract 101.02",,,,1905,1846,59,2625,21,2604,2429,2130,1197,480,166,1156,18,0,18,0,0,0,0,0,0,1138,250001,4136,4136,3959,3563,51,0,127,0,0,218,177,146,31,0,0,0,0,0
"09001010201","Census Tract 102.01, Fairfield County, Connecticut","ACSSF","ct","140","00","0000564",,,,,"09","001",,,"010201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010201","Census Tract 102.01",,,,1278,1240,38,2237,46,2191,1996,1797,1022,302,55,843,21,10,11,0,0,0,0,0,0,822,250001,3501,3501,3062,2824,13,0,152,0,0,73,439,301,7,0,0,0,8,123
"09001010202","Census Tract 102.02, Fairfield County, Connecticut","ACSSF","ct","140","00","0000565",,,,,"09","001",,,"010202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010202","Census Tract 102.02",,,,2947,2748,199,3791,135,3656,3006,2640,1311,317,100,1642,67,22,0,0,0,0,45,38,7,1575,151528,5743,5743,5281,4131,20,11,433,0,41,645,462,297,0,0,0,0,115,50
"09001010300","Census Tract 103, Fairfield County, Connecticut","ACSSF","ct","140","00","0000566",,,,,"09","001",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010300","Census Tract 103",,,,2058,1982,76,3033,46,2987,2903,2626,1405,460,81,1291,0,0,0,0,0,0,0,0,0,1291,250001,4137,4137,4010,3555,94,0,224,0,0,137,127,70,0,0,0,0,57,0
"09001010400","Census Tract 104, Fairfield County, Connecticut","ACSSF","ct","140","00","0000567",,,,,"09","001",,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010400","Census Tract 104",,,,3560,3307,253,4223,170,4053,3254,2414,1184,240,80,1558,88,0,67,0,0,0,21,21,0,1470,155733,5615,5615,5304,4735,185,0,288,0,0,96,311,29,21,0,0,0,151,110
"09001010500","Census Tract 105, Fairfield County, Connecticut","ACSSF","ct","140","00","0000568",,,,,"09","001",,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010500","Census Tract 105",,,,3747,3391,356,4437,369,4068,2968,2013,868,126,34,1735,132,62,13,0,0,0,57,57,0,1603,87589,6478,6478,4630,3691,196,0,439,0,100,204,1848,1267,0,0,0,0,266,315
"09001010600","Census Tract 106, Fairfield County, Connecticut","ACSSF","ct","140","00","0000569",,,,,"09","001",,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010600","Census Tract 106",,,,1047,913,134,1580,9,1571,1488,1222,523,163,22,506,32,14,7,0,0,0,11,11,0,474,111029,1942,1942,1793,1337,120,6,172,0,35,123,149,104,8,0,0,11,0,26
"09001010700","Census Tract 107, Fairfield County, Connecticut","ACSSF","ct","140","00","0000570",,,,,"09","001",,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001010700","Census Tract 107",,,,1362,1198,164,2385,137,2248,1861,1520,902,268,31,750,10,0,9,1,1,0,0,0,0,740,90000,3391,3391,2809,2181,444,0,137,0,0,47,582,285,8,0,0,0,288,1
